timestamp,node_id,distance,tilt_x,tilt_y,vibration,temperature,humidity,status,delta_distance,rollmean_distance,delta_tilt_x,rollmean_tilt_x,delta_tilt_y,rollmean_tilt_y,delta_vibration,rollmean_vibration
2026-01-01 00:02:00,NODE_01,79.48,1.27,1.05,0.166,27.13,68.11,normal,0.0,79.48,0.0,1.27,0.0,1.05,0.0,0.166
2026-01-01 00:12:00,NODE_01,79.33,1.12,1.18,0.188,27.91,65.23,normal,-0.15000000000000568,79.405,-0.1499999999999999,1.195,0.1299999999999999,1.115,0.021999999999999992,0.177
2026-01-01 00:22:00,NODE_01,79.47,0.82,0.71,0.189,26.87,69.29,normal,0.14000000000000057,79.42666666666666,-0.30000000000000016,1.07,-0.47,0.98,0.0010000000000000009,0.18100000000000002
2026-01-01 00:32:00,NODE_01,79.8,1.17,0.62,0.131,26.12,68.93,normal,0.3299999999999983,79.53333333333335,0.35,1.0366666666666666,-0.08999999999999997,0.8366666666666666,-0.057999999999999996,0.16933333333333334
2026-01-01 00:42:00,NODE_01,78.97,1.19,0.69,0.148,26.81,71.79,normal,-0.8299999999999983,79.41333333333334,0.020000000000000018,1.0599999999999998,0.06999999999999995,0.6733333333333333,0.016999999999999987,0.156
2026-01-01 00:52:00,NODE_01,79.19,0.85,0.73,0.144,26.62,74.94,normal,0.21999999999999886,79.32,-0.33999999999999997,1.07,0.040000000000000036,0.68,-0.0040000000000000036,0.14100000000000001
2026-01-01 01:02:00,NODE_01,78.85,0.65,1.32,0.136,24.75,65.36,normal,-0.3400000000000034,79.00333333333333,-0.19999999999999996,0.8966666666666666,0.5900000000000001,0.9133333333333332,-0.00799999999999998,0.1426666666666667
2026-01-01 01:12:00,NODE_01,80.08,1.16,1.24,0.154,26.27,68.86,normal,1.230000000000004,79.37333333333333,0.5099999999999999,0.8866666666666667,-0.08000000000000007,1.0966666666666667,0.017999999999999988,0.14466666666666667
2026-01-01 01:22:00,NODE_01,79.1,1.08,1.09,0.218,27.49,72.24,normal,-0.980000000000004,79.34333333333333,-0.07999999999999985,0.9633333333333333,-0.1499999999999999,1.2166666666666666,0.064,0.16933333333333334
2026-01-01 01:32:00,NODE_01,79.67,1.42,0.91,0.282,25.15,73.15,normal,0.5700000000000074,79.61666666666667,0.33999999999999986,1.22,-0.18000000000000005,1.08,0.06399999999999997,0.218
